Planula_Early_1_AR012_RSEM	Planula_Early_2_AR002_RSEM	Planula_Late_1_AR019_RSEM	Planula_Late_3_AR002_RSEM	Polyp_1_RSEM	Polyp_2_AR005_RSEM	Polyp_3_AR006_RSEM	Strobila_Early_1_AR019_RSEM	Strobila_Early_2_AR006_RSEM	Strobila_Early_3_AR005_RSEM	Strobila_Late_1_AR015_RSEM	Strobila_Late_2_AR005_RSEM	Strobila_Late_3_AR019_RSEM	Ephyra_1_AR019_RSEM	Ephyra_2_AR012_RSEM	Ephyra_3_AR018_RSEM	Juvenile_1_AR002_RSEM	Juvenile_2_AR013_RSEM
evm.model.Seg101.4	0.000	0.000	0.000	0.000	3.220	2.728	0.000	0.000	0.000	0.000	4.391	8.039	5.591	3.063	0.000	0.000	1.048	0.000
evm.model.Seg10491.2	38.108	20.895	19.676	16.049	38.508	41.514	137.327	34.646	31.927	23.200	4.853	16.349	15.873	1.110	1.622	4.639	0.632	0.781
evm.model.Seg1053.11	16.027	11.300	25.199	22.229	10.203	11.578	11.940	8.203	7.841	8.620	8.015	7.137	6.617	1.233	0.345	5.223	0.316	0.000
evm.model.Seg1056.8	1.141	2.286	1.640	0.991	3.622	4.917	3.401	3.221	4.177	2.985	0.663	0.574	0.653	0.000	0.243	0.384	0.223	0.463
evm.model.Seg1063.4	7.039	3.164	3.946	4.218	2.848	1.830	1.790	1.909	2.530	3.933	3.562	5.225	4.409	0.137	0.000	0.000	1.780	1.924
evm.model.Seg1064.12	11.533	26.126	5.725	4.399	2.848	0.000	2.634	12.214	13.434	16.152	17.252	27.226	30.017	0.000	0.000	4.365	0.000	3.211
evm.model.Seg1071.3	1.630	3.177	2.432	4.211	16.606	6.054	0.000	4.512	6.596	4.101	1.629	0.714	1.679	0.418	0.000	3.872	0.370	0.000
evm.model.Seg1074.5.1.57f48f75	1.428	3.539	2.501	2.658	4.782	1.932	1.253	1.131	2.028	2.669	3.666	1.714	1.985	0.000	0.000	0.000	0.724	0.000
evm.model.Seg1078.5.2.57f48f75	0.489	1.072	0.000	0.335	0.305	0.599	0.000	0.352	0.321	0.242	1.118	0.517	0.604	0.000	0.000	0.000	0.208	0.289
evm.model.Seg1085.6.1.57f48f75	0.512	0.000	0.688	0.603	1.049	0.684	0.000	1.077	1.335	1.692	1.277	0.870	1.249	0.000	0.000	0.000	1.564	0.448
evm.model.Seg10934.1	41.848	20.146	56.707	48.824	48.934	50.912	5.830	10.507	15.843	6.890	11.646	13.437	21.936	8.292	0.690	1.644	5.146	0.000
evm.model.Seg1108.5	3.089	3.564	6.948	7.553	3.123	3.626	5.523	9.664	11.064	10.768	10.452	6.120	5.352	0.781	1.724	1.790	0.347	1.302
evm.model.Seg11224.2	3.143	3.435	2.126	2.993	9.095	8.961	3.580	5.280	5.020	4.761	5.081	8.195	9.264	0.000	0.548	1.625	0.000	0.000
evm.model.Seg1123.13.1.57f48f75	7.226	0.000	5.141	5.705	6.477	1.693	0.000	0.896	0.562	1.878	5.965	2.929	2.374	0.000	0.000	0.000	0.000	0.000
evm.model.Seg1149.2	61.896	106.259	114.470	82.576	121.770	134.377	108.921	152.109	135.450	95.209	14.960	102.818	125.790	25.464	33.138	50.897	18.081	13.668
evm.model.Seg1159.14	9.670	2.428	5.607	4.834	2.476	2.873	0.844	13.878	12.329	9.457	2.333	1.641	3.151	5.420	0.771	0.895	2.380	0.694
evm.model.Seg1175.1	0.000	3.887	2.425	5.222	2.335	2.642	0.000	1.931	1.988	2.120	2.603	2.305	2.109	0.000	0.000	0.000	3.482	0.000
evm.model.Seg1184.2.15.57f48f75	0.202	0.181	0.035	0.013	0.045	0.026	0.000	0.021	0.010	0.009	0.463	0.221	0.174	0.000	0.000	0.000	0.000	0.000
evm.model.Seg1184.2.17.57f48f75	0.202	0.452	0.625	0.040	0.059	0.103	0.000	0.021	0.020	0.019	0.683	0.459	0.347	0.000	0.000	0.000	0.123	0.000
evm.model.Seg1184.2.2.57f48f75	0.528	0.465	1.035	0.475	0.223	0.351	0.000	0.139	0.191	0.158	0.704	0.673	0.984	0.000	0.000	0.000	0.786	0.000
evm.model.Seg1184.2.5.57f48f75	0.380	0.155	0.104	0.080	0.067	0.068	0.000	0.043	0.080	0.046	0.642	0.345	0.281	0.000	0.000	0.000	0.000	0.000
evm.model.Seg1184.2.6.57f48f75	0.380	0.310	1.021	0.181	0.082	0.205	0.000	0.053	0.131	0.074	0.870	0.599	0.505	0.000	0.000	0.986	0.354	0.000
evm.model.Seg1184.2.8.57f48f75	0.310	0.736	0.653	0.147	0.208	0.214	0.000	0.085	0.040	0.056	0.525	0.533	0.819	0.000	0.000	0.000	0.370	0.000
evm.model.Seg1189.6	28.833	9.879	49.384	6.013	41.088	51.981	4.014	23.670	13.022	13.530	3.314	4.717	5.045	4.865	1.075	0.000	0.663	10.631
evm.model.Seg1210.4.1.57f48f75	0.768	1.085	0.653	0.000	0.104	0.000	0.000	0.128	0.462	0.493	0.925	1.550	0.662	0.000	0.000	0.000	0.354	0.000
evm.model.Seg1254.5	22.306	19.371	24.199	23.555	17.707	22.292	10.074	20.395	22.389	19.927	7.194	6.686	8.569	0.315	1.582	2.137	0.270	0.333
evm.model.Seg1278.11	5.712	7.464	7.399	8.483	4.150	4.027	2.327	4.192	4.940	4.714	5.813	4.774	5.724	0.000	0.000	0.000	3.382	4.397
evm.model.Seg1297.6	28.375	18.687	21.218	12.983	4.284	0.077	0.077	0.811	1.135	1.525	9.651	12.690	12.357	26.684	1.541	2.812	22.957	0.824
evm.model.Seg1299.4	6.535	0.000	21.302	7.204	24.616	17.717	0.000	11.691	12.600	10.098	12.737	7.235	2.250	0.000	1.967	0.913	0.000	0.000
evm.model.Seg1303.4	30.750	14.709	24.734	30.009	25.962	27.919	18.665	9.963	9.327	8.611	6.531	7.826	9.355	0.767	0.507	4.693	0.555	0.188
evm.model.Seg1303.6	32.488	12.488	29.729	32.379	13.944	25.772	13.960	11.819	9.829	10.210	6.054	8.769	9.818	1.699	3.590	4.164	0.185	0.217
evm.model.Seg1308.5	5.138	7.193	7.573	6.454	15.112	14.143	1.841	3.808	4.297	4.194	1.602	2.805	2.746	0.000	0.000	0.292	0.324	0.000
evm.model.Seg1332.2.2.57f48f76	0.000	0.749	0.146	0.737	0.290	0.274	0.000	0.043	0.000	0.000	0.504	0.287	0.256	0.000	0.000	0.000	0.000	0.000
evm.model.Seg1348.9.1.57f48f76	2.802	6.431	0.000	2.176	2.008	2.095	0.000	1.120	1.727	1.618	1.878	2.518	2.647	2.508	0.000	0.000	0.000	0.000
evm.model.Seg1359.23	1.024	1.808	2.883	3.221	0.825	0.522	0.000	1.472	1.406	2.650	3.535	2.666	2.266	0.000	0.000	0.000	0.000	0.000
evm.model.Seg1359.8	29.407	64.081	18.592	14.121	5.131	0.274	3.145	4.395	5.512	9.503	34.373	25.848	9.760	10.183	44.251	41.072	19.521	32.312
evm.model.Seg1363.2	1.746	0.000	3.842	0.187	1.993	1.667	0.000	1.077	1.165	1.488	1.001	0.886	0.910	0.000	0.000	0.000	1.333	0.275
evm.model.Seg1382.2	402.582	200.378	154.336	274.750	76.584	116.651	368.567	50.721	56.295	32.127	30.514	48.103	41.514	9.532	10.465	21.549	9.807	2.242
evm.model.Seg1389.17	0.000	0.362	0.306	0.000	0.186	0.000	0.000	0.000	0.000	0.000	0.987	0.427	0.596	0.000	0.000	0.000	0.000	0.000
evm.model.Seg1389.17.3.57f48f76	0.000	0.375	0.396	0.000	0.059	0.000	0.000	0.000	0.000	0.000	0.380	0.443	0.273	0.000	0.000	0.000	0.000	0.000
evm.model.Seg1393.10.2.57f48f76	5.324	9.156	10.081	6.093	31.227	34.203	5.088	3.744	4.177	2.818	1.809	4.266	4.458	0.000	0.426	0.913	0.000	0.145
evm.model.Seg1426.7	21.964	21.799	60.723	83.459	26.192	18.838	5.497	8.171	9.839	4.947	8.581	10.640	7.270	0.000	0.000	0.000	0.000	0.000
evm.model.Seg1427.7	4.952	3.887	3.814	3.529	0.558	0.205	0.000	0.096	0.090	0.195	2.685	2.379	2.076	0.000	0.000	0.000	0.324	0.000
evm.model.Seg1433.3.1.57f48f76	3.780	0.000	3.224	4.031	3.525	1.941	0.000	4.789	11.817	15.045	5.212	3.798	5.715	0.000	0.000	0.000	0.000	0.000
evm.model.Seg1450.9	1.684	0.000	1.515	1.399	1.272	1.753	0.000	2.336	1.566	2.436	2.057	1.370	1.762	0.000	0.000	0.000	2.465	0.000
evm.model.Seg1459.11	1.420	0.349	1.417	1.446	3.176	3.668	1.304	1.088	0.884	0.995	2.616	6.759	5.542	3.831	0.142	0.420	0.624	0.000
evm.model.Seg146.3	1.692	12.152	2.939	1.975	5.288	2.574	1.585	1.525	2.470	1.888	1.395	1.624	1.133	0.000	0.000	0.000	0.000	0.000
evm.model.Seg1473.5	63.688	22.303	66.378	42.282	428.746	276.347	331.110	131.320	140.199	107.456	23.224	129.717	91.216	12.307	1.764	15.961	13.689	3.023
evm.model.Seg1476.4	819.095	1384.776	767.898	564.719	620.177	564.981	2136.899	725.293	660.033	658.246	286.050	365.705	379.868	0.288	55.568	134.246	0.401	9.647
evm.model.Seg1476.5	44.456	63.577	44.013	26.508	23.203	31.989	125.285	50.017	49.507	43.602	21.422	31.541	39.438	0.233	7.605	9.515	0.077	0.911
evm.model.Seg1476.6	12.115	37.594	14.451	18.118	51.537	23.592	9.665	20.854	27.640	24.177	17.501	18.498	22.159	5.503	6.043	3.689	1.410	0.492
evm.model.Seg1492.3	6011.987	8880.835	7727.846	13847.161	44201.025	27360.385	132588.884	13990.293	7548.239	5321.910	1531.441	9111.657	8363.832	623.964	1835.414	3296.989	787.986	2106.578
evm.model.Seg1507.4	16.136	94.249	4.321	2.979	8.969	9.714	31.577	16.384	18.494	16.347	3.507	9.319	9.768	2.645	3.711	1.717	7.257	2.979
evm.model.Seg15127.1	65.908	10.900	33.523	32.366	0.112	0.000	1072.182	215.758	95.320	145.915	3.749	44.363	93.441	0.000	0.000	11.816	3.744	0.000
evm.model.Seg1514.6	140.284	115.415	128.080	18.259	366.738	162.689	334.485	205.444	93.895	116.094	9.189	89.119	93.788	24.347	2.819	14.865	82.483	3.168
evm.model.Seg1517.11	6.333	14.090	6.739	6.709	3.019	4.660	0.000	0.117	0.000	1.116	9.927	0.000	0.000	0.000	11.499	15.249	0.000	0.000
evm.model.Seg15196.1	230.454	12.888	170.378	145.815	349.574	39.582	1922.892	243.674	112.790	188.680	32.571	238.409	348.685	9.738	22.714	65.324	23.211	11.773
evm.model.Seg1519.8	10.206	12.721	15.604	19.317	15.892	21.001	31.654	25.728	21.275	23.544	9.347	9.745	10.265	0.877	1.379	3.360	6.787	3.500
evm.model.Seg1524.7.1.57f48f76	29.803	48.674	24.157	14.061	29.286	14.571	10.125	19.158	19.367	24.270	40.372	43.280	37.047	0.000	16.914	17.623	2.265	5.395
evm.model.Seg1550.2	0.691	1.692	1.181	2.189	1.986	1.248	0.563	0.907	0.512	1.386	0.428	0.689	1.489	0.000	0.000	0.000	0.000	0.000
evm.model.Seg1574.21	31.899	72.720	32.612	29.219	10.583	4.104	6.239	7.083	6.667	6.723	28.298	45.667	51.290	10.800	9.775	14.391	5.755	7.926
evm.model.Seg1577.3	0.000	24.240	3.439	8.249	7.734	7.824	3.119	11.990	11.405	6.621	4.957	4.979	1.365	0.000	0.000	0.000	0.000	0.000
evm.model.Seg1582.8	0.078	0.103	0.757	1.038	1.874	0.804	0.051	2.603	3.665	5.756	0.504	0.427	0.778	0.000	0.000	0.000	0.000	0.188
evm.model.Seg1587.1	49.866	10.422	20.780	24.666	25.486	27.611	6.827	6.752	4.628	4.268	2.651	5.955	3.350	0.267	0.000	0.968	0.370	0.000
evm.model.Seg15906.1	75.043	80.430	51.982	46.386	184.403	47.688	4.653	40.257	74.437	61.511	44.673	42.263	35.393	12.787	0.000	5.698	2.188	0.000
evm.model.Seg1600.9	0.000	0.710	0.000	0.000	0.119	0.000	0.000	0.000	0.100	0.642	1.795	0.771	2.217	0.000	0.000	0.457	0.000	0.000
evm.model.Seg1617.12.1.57f48f77	2.755	3.319	2.890	8.831	6.574	6.268	0.895	3.531	3.795	5.570	10.556	13.076	9.479	0.000	0.000	0.000	3.020	1.316
evm.model.Seg1628.7	15.049	13.818	18.356	13.820	48.897	54.820	26.335	34.571	33.865	31.030	14.670	29.819	26.567	2.433	0.629	3.141	3.567	0.289
evm.model.Seg1628.8	11.774	17.124	12.089	13.404	31.116	59.292	16.261	36.854	39.146	33.141	13.407	22.272	20.918	7.017	0.913	5.022	4.245	2.170
evm.model.Seg16297.1	50.572	25.635	51.899	65.194	42.449	47.209	27.384	81.975	79.427	60.311	16.120	29.630	25.484	0.000	0.000	0.000	14.729	0.000
evm.model.Seg1635.6	2.755	1.433	3.224	2.370	7.942	9.363	1.355	4.203	4.498	3.329	1.305	1.624	1.679	0.302	0.507	0.950	0.208	0.058
evm.model.Seg1639.10	1.374	1.317	1.640	1.620	1.331	1.676	0.409	0.736	0.492	0.883	2.119	1.354	0.794	0.000	0.000	0.000	0.647	1.128
evm.model.Seg164.11.1.57f48f77	2.678	1.072	1.911	3.321	1.487	2.446	0.435	0.533	2.329	3.180	3.687	2.141	2.804	0.000	0.000	0.000	2.642	0.000
