	early planula	late planula	polyp	early strobila	late strobila	ephyra	juvenile
evm.model.Seg1430.1	1.6875	6.9865	3.6137	2.847	4.0607	3.5973	2.367
evm.model.Seg1498.8	12.5995	15.3925	8.3017	8.73	9.7847	7.3547	6.7175
evm.model.Seg1512.12	0.155	0.0	0.4017	0.588	4.039	1.0963	1.562
evm.model.Seg1580.9	0.2065	0.623	0.0707	0.0	0.0	0.0	0.0
evm.model.Seg186.1	5.1555	5.7355	3.807	5.4217	5.4047	4.54	3.108
evm.model.Seg2068.2	8.6125	17.163	6.3227	6.8087	8.458	6.2953	6.171
evm.model.Seg2110.1	5.7045	6.816	5.4437	6.36	3.9133	1.56	0.705
evm.model.Seg2442.4	1.256	0.7645	0.521	0.576	0.3443	1.1377	0.39
evm.model.Seg2449.3	1.844	4.363	2.7257	1.3203	2.637	2.0113	1.555
evm.model.Seg2595.3	3.5305	3.2165	0.0857	1.5123	0.9877	0.3187	0.207
evm.model.Seg2644.2	5.2785	5.891	3.0217	3.17	4.587	0.895	4.738
evm.model.Seg2644.2.1.57f48f79	0.7295	3.1415	6.5937	5.0743	6.1793	11.2473	6.062
evm.model.Seg2873.2	14.836	17.8055	13.7497	23.881	19.8033	7.693	19.577
evm.model.Seg3532.3.1.57f48f7a	0.0	0.0035	0.0	0.0	0.0	0.2057	0.0
evm.model.Seg3938.1	1.455	1.3175	0.6493	2.669	2.3077	3.4323	5.48
evm.model.Seg4096.2	0.0235	0.0	0.0437	1.507	1.292	0.2007	0.449
evm.model.Seg4166.3	2.7295	11.0265	5.413	3.1913	4.9463	1.455	1.244
evm.model.Seg4166.3.1.57f48f7b	1.0085	6.27	3.5503	4.0583	3.748	1.0803	0.9285
evm.model.Seg4166.3.2.57f48f7b	1.2475	7.81	0.8983	1.9733	4.221	0.9697	0.562
evm.model.Seg4269.3	0.955	2.0695	0.733	0.5673	1.6523	0.6747	1.267
evm.model.Seg4984.1	1.3665	6.0055	4.168	2.9903	3.5457	2.3263	1.525
evm.model.Seg722.2	0.332	0.3625	0.477	0.2143	0.5217	0.1583	0.1815
evm.model.Seg864.2	11.9935	6.302	2.713	5.2333	3.4737	14.8307	2.165
evm.model.Seg9192.1	0.0	0.0	0.0	0.0	0.0	0.453	0.0
