	early planula	late planula	polyp	early strobila	late strobila	ephyra	juvenile
evm.model.Seg1032.1	5.02	6.7875	7.306	1.8897	16.6883	10.2517	6.806
evm.model.Seg1080.7.1.57f48f75	0.4345	4.1295	2.9863	0.589	1.763	2.9943	0.9835
evm.model.Seg1104.2.1.57f48f75	0.0	0.0	0.04	0.0	0.3313	1.1653	0.2275
evm.model.Seg1120.6	1.571	9.591	6.7577	5.3587	18.2313	8.4283	6.0575
evm.model.Seg1173.3	0.013	0.6715	1.85	1.062	1.172	1.3063	0.2015
evm.model.Seg1208.4	2.7245	2.1435	4.4347	3.0863	11.3107	285.91	4.4505
evm.model.Seg1224.3.1.57f48f75	0.0	0.328	0.3337	0.0	0.0	0.4377	0.0
evm.model.Seg1304.3	0.0	1.2775	0.5987	0.463	1.17	1.279	1.375
evm.model.Seg1389.16.3.57f48f76	0.0	0.0	0.1877	0.0	0.0	3.528	0.13
evm.model.Seg14060.1	0.097	1.8725	2.1793	0.4377	3.2003	1.7817	0.6215
evm.model.Seg1459.7.6.57f48f76	0.0	0.116	0.04	0.0	0.142	0.073	0.0
evm.model.Seg1477.13	0.3985	1.3715	1.957	0.1287	1.588	1.778	1.116
evm.model.Seg1492.4	4.226	25.6735	6.9603	3.6543	5.4447	13.966	2.8445
evm.model.Seg1509.14	0.3065	4.1565	1.916	0.02	2.6667	3.6593	0.4775
evm.model.Seg1556.24	0.4265	0.6965	0.0	0.03	0.201	0.9207	0.0
evm.model.Seg1641.6	0.0905	0.6815	0.4267	0.1133	0.348	2.4417	1.0575
evm.model.Seg1653.10	1.2155	2.123	3.683	0.772	5.573	3.5783	2.1955
evm.model.Seg1670.17.1.57f48f77	0.6395	0.0	0.0	0.6513	0.0	32.6387	0.0
evm.model.Seg1670.18.2.57f48f77	0.323	1.1225	0.922	0.067	0.4847	1.5157	0.0
evm.model.Seg169.19	0.5375	4.391	2.608	0.4997	2.5767	6.1767	2.012
evm.model.Seg1694.8.2.57f48f77	0.0195	1.292	1.758	1.116	1.0293	1.9537	0.47
evm.model.Seg1718.3.2.57f48f77	0.1865	0.779	1.4903	0.0	3.7233	1.4823	1.8355
evm.model.Seg1764.4.1.57f48f78	0.0	0.6045	0.5633	0.266	0.1793	0.859	0.47
evm.model.Seg1797.2	0.358	3.6595	3.339	1.8537	8.454	4.622	2.0395
evm.model.Seg1807.2.2.57f48f78	0.0	0.8505	0.2387	0.347	0.6227	1.2513	0.42
evm.model.Seg1816.11.2.57f48f78	0.252	0.325	0.356	0.0283	0.3283	1.398	0.0
evm.model.Seg1823.2	0.3065	0.5035	0.176	0.0	0.295	0.522	0.0
evm.model.Seg1884.1	0.1935	0.2595	0.3657	0.0	1.1283	0.6303	0.801
evm.model.Seg1914.8.1.57f48f78	0.0	0.984	0.2743	0.0	0.0	5.0157	2.191
evm.model.Seg1969.3	0.0	8.3945	0.0	0.0	0.0	4.0613	0.0
evm.model.Seg2067.4.2.57f48f79	1.1485	3.291	0.6667	0.2687	0.6797	4.1197	0.3915
evm.model.Seg2083.5	1.0125	5.866	9.981	2.758	14.905	7.945	2.727
evm.model.Seg2083.6	0.388	5.6365	6.2853	1.5237	11.4147	4.63	1.977
evm.model.Seg210.5.1.57f48f79	0.0	4.0495	0.3683	0.0	0.461	3.3387	0.0
evm.model.Seg2179.2	36.4655	242.232	113.2617	49.9777	16.8433	293.6937	58.4535
evm.model.Seg2312.2.2.57f48f79	0.0	0.3015	0.1263	0.0	0.0	0.2983	0.0
evm.model.Seg2440.1	0.523	0.715	0.5403	0.1393	3.0887	19.5827	2.7475
evm.model.Seg253.21	0.6695	2.628	0.683	0.6073	3.075	1.4547	0.973
evm.model.Seg25.5.1.57f48f79	0.0	3.9705	1.2817	1.6843	3.3973	4.1587	1.3315
evm.model.Seg2553.2	1.546	1.402	4.932	2.392	5.7813	19.2923	3.0135
evm.model.Seg2567.3	0.433	4.2745	2.3137	0.121	1.4693	2.674	0.0
evm.model.Seg2613.2	0.3745	0.1365	0.9193	0.4763	1.5647	6.802	0.468
evm.model.Seg2619.6.2.57f48f79	0.0	0.74	0.7547	0.0	0.683	2.295	0.846
evm.model.Seg2778.1	1.188	5.1165	3.8337	1.7393	2.0137	42.1913	3.211
evm.model.Seg2878.2.1.57f48f7a	0.0	0.0	0.0	0.0	0.149	0.3487	0.1085
evm.model.Seg302.1	0.0	0.451	0.0633	0.0	0.516	0.2353	0.0115
evm.model.Seg3037.2	1.5505	6.9395	25.6017	8.8797	3.9427	15.9787	8.526
evm.model.Seg3150.1.4.57f48f7a	0.0	0.616	4.4583	1.121	1.1453	5.848	1.128
evm.model.Seg341.1.1.57f48f7a	1.2465	1.773	1.2483	0.6157	3.979	1.9617	1.112
evm.model.Seg3419.4	0.1125	0.79	3.2177	0.2137	0.7953	2.997	1.299
evm.model.Seg3491.2.1.57f48f7a	0.0	0.0	0.2937	0.0	0.0303	1.8247	0.0
evm.model.Seg3717.1	1.376	0.2785	3.7053	1.5447	3.424	11.231	1.359
evm.model.Seg378.6.1.57f48f7b	0.004	0.1485	0.0547	0.0	0.0	0.3303	0.0
evm.model.Seg3879.6	0.4835	1.431	0.5763	0.1263	1.014	0.9887	0.3145
evm.model.Seg4295.2	0.439	0.3075	2.505	1.675	2.9803	8.2103	0.259
evm.model.Seg4315.1	0.6785	3.349	3.0037	0.0	3.2217	16.5177	2.288
evm.model.Seg4425.1.1.57f48f7b	0.0	0.1975	0.2203	0.0	0.123	0.4957	0.0
evm.model.Seg4627.2	0.591	2.6695	0.958	0.232	0.518	1.3147	0.1655
evm.model.Seg4692.1.1.57f48f7b	0.0	0.2815	0.7143	0.0	0.8097	0.8063	0.5425
evm.model.Seg4732.1.1.57f48f7b	0.0	0.696	0.3687	0.028	0.044	0.9433	0.0
evm.model.Seg512.1	0.5435	1.039	0.671	0.0	2.2257	1.7987	1.7365
evm.model.Seg5297.2	0.0	0.5155	2.6363	1.0623	1.4897	4.7063	0.258
evm.model.Seg536.2.2.57f48f7c	0.4945	0.975	0.449	0.0	0.0573	2.516	0.173
evm.model.Seg598.5	5.3465	5.7905	4.2097	1.401	7.578	20.1797	1.3465
evm.model.Seg615.3	0.0895	1.0935	0.2483	0.083	0.2653	1.7737	0.6045
evm.model.Seg6329.1.1.57f48f7d	0.221	0.1875	0.0987	0.0	0.123	3.2827	0.0
evm.model.Seg638.1	9.986	16.8355	16.4037	5.8083	28.148	16.2517	26.368
evm.model.Seg6738.3	0.0	1.7395	1.8647	0.6543	4.5667	1.9237	0.275
evm.model.Seg703.1.1.57f48f7d	0.0	0.708	0.4947	0.252	0.745	0.3973	0.4085
evm.model.Seg733.9.1.57f48f7d	0.2775	0.5465	0.768	0.0	0.262	0.76	0.0
evm.model.Seg780.2.1.57f48f7e	1.6385	9.0765	5.661	2.8233	10.1557	5.1813	4.589
evm.model.Seg841.14	0.0	4.3125	1.5457	0.1423	0.0	4.3037	1.115
evm.model.Seg842.1.1.57f48f7e	0.0	0.1575	0.3287	0.3483	0.4747	1.248	0.0
evm.model.Seg846.6	1.5705	15.8905	10.538	4.3857	9.3353	25.609	7.227
evm.model.Seg965.2	0.473	0.588	5.7753	0.617	2.536	8.8837	1.835
