Planula_Early_1_AR012_RSEM	Planula_Early_2_AR002_RSEM	Planula_Late_1_AR019_RSEM	Planula_Late_3_AR002_RSEM	Polyp_1_RSEM	Polyp_2_AR005_RSEM	Polyp_3_AR006_RSEM	Strobila_Early_1_AR019_RSEM	Strobila_Early_2_AR006_RSEM	Strobila_Early_3_AR005_RSEM	Strobila_Late_1_AR015_RSEM	Strobila_Late_2_AR005_RSEM	Strobila_Late_3_AR019_RSEM	Ephyra_1_AR019_RSEM	Ephyra_2_AR012_RSEM	Ephyra_3_AR018_RSEM	Juvenile_1_AR002_RSEM	Juvenile_2_AR013_RSEM
evm.model.Seg1430.1	2.290	1.085	5.537	8.436	5.250	5.028	0.563	2.229	2.881	3.431	3.438	4.848	3.896	6.291	0.629	3.872	4.329	0.405
evm.model.Seg1498.8	11.626	13.573	16.216	14.569	11.706	9.517	3.682	8.555	8.745	8.890	11.764	8.277	9.313	10.793	5.171	6.100	8.127	5.308
evm.model.Seg1512.12	0.000	0.310	0.000	0.000	1.205	0.000	0.000	0.267	0.000	1.497	4.688	3.872	3.557	3.289	0.000	0.000	2.357	0.767
evm.model.Seg1580.9	0.000	0.413	1.119	0.127	0.126	0.086	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
evm.model.Seg186.1	6.372	3.939	4.863	6.608	4.596	4.831	1.994	5.525	6.044	4.696	5.537	5.168	5.509	5.345	3.691	4.584	4.437	1.779
evm.model.Seg2068.2	7.513	9.712	15.445	18.881	10.025	5.977	2.966	5.792	8.032	6.602	10.017	7.317	8.040	6.551	5.395	6.940	7.858	4.484
evm.model.Seg2110.1	6.915	4.494	5.176	8.456	8.604	6.883	0.844	6.059	5.954	7.067	8.070	2.264	1.406	2.145	2.535	0.000	1.410	0.000
evm.model.Seg2442.4	0.497	2.015	0.618	0.911	0.811	0.752	0.000	0.491	0.502	0.735	0.656	0.377	0.000	3.413	0.000	0.000	0.578	0.202
evm.model.Seg2449.3	1.079	2.609	3.912	4.814	2.216	3.583	2.378	1.088	1.506	1.367	4.011	1.567	2.333	2.035	0.000	3.999	1.533	1.577
evm.model.Seg2595.3	2.321	4.740	2.925	3.508	0.231	0.026	0.000	1.397	1.466	1.674	1.243	1.025	0.695	0.000	0.426	0.530	0.139	0.275
evm.model.Seg2644.2	6.760	3.797	4.176	7.606	3.882	3.138	2.045	2.752	3.885	2.873	3.183	5.193	5.385	0.000	0.000	2.685	9.476	0.000
evm.model.Seg2644.2.1.57f48f79	1.459	0.000	3.370	2.913	9.497	6.832	3.452	5.227	4.789	5.207	4.763	5.611	8.164	17.474	10.972	5.296	6.787	5.337
evm.model.Seg2873.2	16.112	13.560	16.515	19.096	13.751	14.075	13.423	24.096	23.203	24.344	24.653	17.817	16.940	8.641	9.471	4.967	15.361	23.793
evm.model.Seg3532.3.1.57f48f7a	0.000	0.000	0.007	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.142	0.475	0.000	0.000
evm.model.Seg3938.1	1.063	1.847	1.035	1.600	0.736	0.573	0.639	2.688	2.520	2.799	3.314	1.731	1.878	2.145	5.029	3.123	1.240	9.720
evm.model.Seg4096.2	0.047	0.000	0.000	0.000	0.037	0.017	0.077	1.077	1.566	1.878	1.367	1.583	0.926	0.164	0.000	0.438	0.609	0.289
evm.model.Seg4166.3	3.780	1.679	17.272	4.781	8.404	6.071	1.764	3.744	2.269	3.561	3.997	4.151	6.691	4.365	0.000	0.000	2.488	0.000
evm.model.Seg4166.3.1.57f48f7b	1.242	0.775	7.733	4.807	7.556	3.095	0.000	4.853	4.458	2.864	4.163	3.938	3.143	3.241	0.000	0.000	1.857	0.000
evm.model.Seg4166.3.2.57f48f7b	1.242	1.253	11.804	3.816	1.190	1.505	0.000	1.856	2.018	2.046	0.670	5.086	6.907	0.000	0.608	2.301	0.401	0.723
evm.model.Seg4269.3	0.877	1.033	1.883	2.256	0.543	0.889	0.767	0.523	0.602	0.577	2.175	1.649	1.133	0.281	0.446	1.297	0.639	1.895
evm.model.Seg4984.1	1.894	0.839	4.780	7.231	6.820	5.173	0.511	2.240	3.012	3.719	3.141	3.724	3.772	2.755	1.521	2.703	2.558	0.492
evm.model.Seg722.2	0.186	0.478	0.625	0.100	0.773	0.479	0.179	0.192	0.181	0.270	0.249	0.861	0.455	0.000	0.000	0.475	0.262	0.101
evm.model.Seg864.2	9.213	14.774	5.614	6.990	1.272	1.932	4.935	5.301	4.829	5.570	6.193	2.814	1.414	3.049	21.720	19.723	2.565	1.765
evm.model.Seg9192.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.359	0.000	0.000	0.000
