Planula_Early_1_AR012_RSEM	Planula_Early_2_AR002_RSEM	Planula_Late_1_AR019_RSEM	Planula_Late_3_AR002_RSEM	Polyp_1_RSEM	Polyp_2_AR005_RSEM	Polyp_3_AR006_RSEM	Strobila_Early_1_AR019_RSEM	Strobila_Early_2_AR006_RSEM	Strobila_Early_3_AR005_RSEM	Strobila_Late_1_AR015_RSEM	Strobila_Late_2_AR005_RSEM	Strobila_Late_3_AR019_RSEM	Ephyra_1_AR019_RSEM	Ephyra_2_AR012_RSEM	Ephyra_3_AR018_RSEM	Juvenile_1_AR002_RSEM	Juvenile_2_AR013_RSEM
evm.model.Seg1439.8	3.935	1.511	8.469	2.049	3.057	3.241	0.665	6.965	6.827	6.872	5.081	3.388	4.003	4.386	3.204	4.383	2.750	5.785
evm.model.Seg1478.3	0.939	4.417	0.000	0.000	1.301	0.667	0.000	0.544	0.542	0.911	3.141	0.738	0.306	0.000	0.000	1.844	0.000	0.000
evm.model.Seg1659.1	0.497	0.581	0.730	0.904	3.153	4.763	0.000	0.779	0.602	0.409	1.208	0.804	0.852	2.248	0.000	0.493	1.179	0.202
evm.model.Seg1659.1.1.57f48f77	1.102	2.170	0.625	0.743	4.841	5.267	0.563	0.619	1.034	0.930	0.773	1.313	0.926	1.418	0.406	0.877	0.000	0.362
evm.model.Seg1952.1	0.458	0.375	0.320	0.000	0.796	0.556	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.387	0.000	0.000	0.000
evm.model.Seg214.2	0.574	2.247	0.806	0.777	0.766	1.377	0.000	0.821	0.994	0.930	1.298	0.976	0.711	1.281	0.406	0.256	2.974	0.000
evm.model.Seg2731.5	16.430	21.102	8.990	12.300	9.965	8.200	74.941	22.688	20.652	16.403	3.907	6.210	7.312	15.110	9.755	5.953	27.687	20.206
evm.model.Seg3075.2	0.419	0.000	2.661	0.777	1.554	1.445	0.000	0.768	0.422	0.753	2.402	1.747	0.868	1.439	0.000	0.000	0.986	0.000
evm.model.Seg3075.2.1.57f48f7a	1.816	1.188	0.063	1.620	1.852	1.171	0.077	0.779	1.165	1.358	3.493	2.789	2.266	2.906	0.142	0.621	1.803	0.347
evm.model.Seg3077.1	0.799	0.814	1.313	1.587	2.186	1.873	0.358	0.373	0.371	0.595	1.139	0.927	0.670	1.809	0.831	0.621	0.755	0.116
evm.model.Seg339.5	4.183	5.282	4.905	5.209	6.031	4.498	1.611	5.099	5.361	5.235	6.407	5.381	5.476	5.941	1.521	2.520	3.836	2.661
evm.model.Seg378.26	3.104	6.057	2.640	1.714	2.045	1.077	0.614	1.013	1.084	1.097	2.112	1.575	1.390	2.474	2.393	1.443	8.505	2.083
evm.model.Seg3821.1	1.506	1.705	2.487	0.917	1.443	4.327	0.000	0.544	0.833	0.000	1.222	0.755	0.174	1.706	0.000	0.000	0.585	0.000
evm.model.Seg3937.1	7.955	14.942	10.811	13.465	11.929	10.825	5.548	4.341	2.420	2.985	2.182	5.882	7.089	1.549	6.226	11.724	0.547	3.269
evm.model.Seg4454.2	7.365	11.403	4.440	6.327	4.023	5.276	3.938	5.973	6.385	7.299	7.042	5.307	4.955	4.283	3.367	2.191	4.507	7.796
evm.model.Seg463.3	1.676	0.956	1.869	1.808	2.201	1.992	0.256	0.715	0.753	0.762	1.961	1.255	1.216	2.309	0.466	1.023	1.518	0.231
evm.model.Seg463.6	0.241	0.504	1.035	0.254	0.312	0.804	0.102	0.256	0.090	0.167	1.229	0.345	0.364	0.315	0.345	0.274	0.747	0.289
evm.model.Seg571.17	0.536	0.362	1.160	1.399	1.458	2.215	0.179	0.320	0.512	0.428	0.987	0.788	0.604	1.336	0.041	0.402	0.624	0.362
evm.model.Seg580.4	5.968	11.804	9.852	16.297	0.000	0.000	0.000	7.477	12.550	12.832	7.283	6.530	3.978	0.000	0.000	2.538	0.000	1.331
evm.model.Seg581.9	0.396	1.950	0.167	0.000	0.900	0.547	0.332	0.096	0.171	0.139	0.324	0.394	0.182	0.000	0.000	0.000	0.462	0.318
evm.model.Seg6442.1	0.652	0.633	0.611	0.449	1.093	0.778	0.000	0.053	0.141	0.065	0.366	0.271	0.149	0.260	0.000	0.493	0.539	0.000
evm.model.Seg818.6	2.336	2.944	2.216	2.712	8.374	2.865	0.690	2.304	2.731	1.999	2.520	2.978	3.772	3.152	0.345	2.995	1.294	1.331
evm.model.Seg89.2	3.656	3.048	2.981	3.301	4.938	3.916	0.665	2.464	2.681	2.725	2.734	2.814	3.093	3.433	0.608	2.191	3.736	0.882
