evm.model.Seg1365.4	0.295	0.142	0.257	0.167	0.647	0.650	0.077	0.843	0.592	0.530	1.291	1.928	1.464	3.632	0.649	0.329	0.501	0.448
evm.model.Seg1394.13	9.678	21.619	7.253	7.003	18.190	13.271	4.244	20.043	29.327	24.707	41.573	33.083	28.519	21.545	50.416	61.726	16.293	10.920
evm.model.Seg1430.14	0.000	0.232	0.000	0.033	0.052	0.017	0.077	0.160	0.141	0.186	0.877	1.263	1.315	1.007	0.649	0.730	1.132	0.607
evm.model.Seg1569.4	9.476	6.070	15.069	24.934	40.679	37.667	16.440	40.065	44.779	44.587	156.325	159.461	153.218	174.173	79.255	108.861	121.171	153.632
evm.model.Seg1665.6	0.000	0.039	0.327	0.261	0.104	0.043	0.153	0.149	0.211	0.307	0.732	0.730	0.488	5.064	0.852	0.183	6.802	1.200
evm.model.Seg2333.4	0.147	0.129	0.167	0.241	0.223	0.086	1.534	1.472	1.335	1.674	1.491	0.870	0.273	2.371	0.183	0.420	1.356	0.868
evm.model.Seg3.11	23.532	13.547	15.375	22.765	48.711	44.464	113.063	61.526	61.796	61.344	83.609	89.972	83.491	106.311	88.685	76.227	87.614	68.066
evm.model.Seg3011.2	1.389	0.827	2.585	3.174	2.923	3.950	0.332	1.771	1.827	1.739	2.320	2.682	2.374	5.729	0.426	0.000	3.351	0.405
evm.model.Seg3011.3	7.218	6.134	7.976	11.141	20.005	18.153	4.295	11.766	12.269	13.920	9.789	19.072	25.823	0.000	2.677	9.843	1.140	1.707
evm.model.Seg3111.1	5.068	4.094	3.453	5.176	3.837	3.933	1.892	3.083	3.926	3.831	3.707	3.437	3.763	3.550	1.521	1.096	3.143	2.054
evm.model.Seg3121.1.1.57f48f7a	0.186	0.258	0.000	0.295	4.953	3.309	5.293	7.275	10.612	9.131	7.111	8.310	8.784	14.411	5.455	5.844	7.342	2.777
evm.model.Seg3211.1	1.288	5.269	0.910	0.516	0.119	0.086	0.563	0.043	0.040	0.019	0.373	0.254	0.215	0.000	0.426	0.347	0.262	0.333
evm.model.Seg3211.2	0.000	0.633	0.000	0.000	0.074	0.000	0.000	0.000	0.060	0.000	0.000	0.082	0.323	0.000	0.000	0.000	0.000	0.000
evm.model.Seg3311.1	1.056	1.446	0.570	0.656	0.022	0.026	0.051	0.000	0.010	0.009	0.090	0.008	0.000	0.000	0.811	0.146	0.000	0.029
evm.model.Seg3311.2	0.155	0.116	0.000	0.087	0.015	0.000	0.128	0.064	0.120	0.158	0.324	0.131	0.124	0.103	0.000	0.091	0.108	0.000
