	early planula	late planula	polyp	early strobila	late strobila	ephyra	juvenile
evm.model.Seg1000.16	3.3835	0.152	0.967	14.7953	4.5267	19.767	0.3615
evm.model.Seg100.4	0.3295	0.0	0.932	0.1723	0.3033	9.373	13.348
evm.model.Seg100.5	15.8375	4.2865	3.8867	7.866	25.1907	56.595	27.4575
evm.model.Seg10052.1	0.2105	0.6145	7.2417	20.2227	7.912	4.1373	4.6835
evm.model.Seg1005.4.3.57f48f75	1.117	0.5305	1.1633	2.2443	1.3767	2.3653	0.9495
evm.model.Seg1006.2	0.1695	0.561	1.9	4.763	6.6403	4.0793	2.7205
evm.model.Seg1010.12	0.4755	0.483	4.361	5.798	4.659	1.9533	3.5275
evm.model.Seg1010.8	0.384	0.2485	0.6613	0.0613	0.1953	1.0423	6.1035
evm.model.Seg1013.10	0.0	0.0	8.7707	3.5913	0.0	215.381	235.617
evm.model.Seg1018.15	0.429	1.766	3.264	5.5303	1.8933	1.728	3.1595
evm.model.Seg1020.1	0.111	0.0815	0.059	2.082	1.9783	5.0277	6.1175
evm.model.Seg1021.13	251.198	333.9645	582.665	978.7083	864.18	638.0483	1232.8225
evm.model.Seg1023.3	4.3425	2.1045	45.384	22.3353	6.9657	23.643	30.22
evm.model.Seg1027.14	17.3735	20.9175	95.488	71.151	175.3517	246.5787	188.5445
evm.model.Seg1033.1	6.56	5.897	259.5163	72.7567	64.3973	105.923	299.4185
evm.model.Seg10355.1	0.1225	0.3475	16.937	2.0927	2.6483	4.5867	7.7105
evm.model.Seg10356.1	19.2095	17.8225	34.8633	145.107	211.895	483.1087	500.466
evm.model.Seg1043.13	0.368	0.0	0.5837	2.4243	3.2703	4.288	7.2
evm.model.Seg1044.2	0.789	0.2235	1.108	2.2793	1.1937	1.8993	2.379
evm.model.Seg1054.6	0.7015	0.545	3.393	2.8203	4.025	6.732	6.8465
evm.model.Seg1055.3	0.791	0.5135	1.4403	0.2833	1.369	5.0317	2.846
evm.model.Seg1056.5_evm.model.Seg1056.6	13.9515	4.559	1.0163	7.421	22.9237	24.13	13.4495
evm.model.Seg1058.1	2.283	0.7685	0.6453	0.8003	3.8193	10.01	4.1295
evm.model.Seg1058.3	6.5365	2.5265	3.146	6.3	5.1997	11.8333	116.4645
evm.model.Seg1063.6	0.5205	0.588	1.9163	0.288	0.5837	4.964	6.382
evm.model.Seg1070.17	0.265	0.529	4.465	5.084	4.993	5.5757	2.371
evm.model.Seg10704.1	8.9515	1.114	8.8573	9.7637	7.2197	12.5347	11.0545
evm.model.Seg1074.5	0.912	0.926	3.979	3.3143	4.0193	5.545	7.1565
evm.model.Seg1080.4	4.0445	0.725	2.2313	4.345	8.5847	5.4333	5.736
evm.model.Seg1080.5	2.896	0.884	12.3447	13.3777	10.428	14.5967	21.5445
evm.model.Seg1082.4	3.806	2.7625	6.1283	10.763	8.106	6.9443	14.377
evm.model.Seg1086.6	4.9965	6.975	15.6313	9.5323	27.2203	35.6197	46.214
evm.model.Seg1087.4	110.659	17.251	52.5777	67.25	62.8563	138.695	121.4785
evm.model.Seg1087.6	0.5685	0.045	0.756	0.0853	1.165	2.9717	1.986
