	early planula	late planula	polyp	early strobila	late strobila	ephyra	juvenile
evm.model.Seg1365.4	0.2185	0.212	0.458	0.655	1.561	1.5367	0.4745
evm.model.Seg1394.13	15.6485	7.128	11.9017	24.6923	34.3917	44.5623	13.6065
evm.model.Seg1430.14	0.116	0.0165	0.0487	0.1623	1.1517	0.7953	0.8695
evm.model.Seg1569.4	7.773	20.0015	31.5953	43.1437	156.3347	120.763	137.4015
evm.model.Seg1665.6	0.0195	0.294	0.1	0.2223	0.65	2.033	4.001
evm.model.Seg2333.4	0.138	0.204	0.6143	1.4937	0.878	0.9913	1.112
evm.model.Seg3.11	18.5395	19.07	68.746	61.5553	85.6907	90.4077	77.84
evm.model.Seg3121.1.1.57f48f7a	0.222	0.1475	4.5183	9.006	8.0683	8.57	5.0595
evm.model.Seg4844.1	0.749	9.4055	4.3657	17.05	8.254	8.3067	8.2635
evm.model.Seg918.3	0.058	0.0985	0.0577	0.2127	5.4283	4.0713	2.5315
evm.model.Seg918.4	0.1045	0.065	0.247	0.172	1.1213	1.2443	2.08
