	early planula	late planula	polyp	early strobila	late strobila	ephyra	juvenile
evm.model.Seg1439.8	2.723	5.259	2.321	6.888	4.1573	3.991	4.2675
evm.model.Seg1478.3	2.678	0.0	0.656	0.6657	1.395	0.6147	0.0
evm.model.Seg1659.1	0.539	0.817	2.6387	0.5967	0.9547	0.9137	0.6905
evm.model.Seg1659.1.1.57f48f77	1.636	0.684	3.557	0.861	1.004	0.9003	0.181
evm.model.Seg1952.1	0.4165	0.16	0.4507	0.0	0.0	1.129	0.0
evm.model.Seg214.2	1.4105	0.7915	0.7143	0.915	0.995	0.6477	1.487
evm.model.Seg2731.5	18.766	10.645	31.0353	19.9143	5.8097	10.2727	23.9465
evm.model.Seg3075.2	0.2095	1.719	0.9997	0.6477	1.6723	0.4797	0.493
evm.model.Seg3075.2.1.57f48f7a	1.502	0.8415	1.0333	1.1007	2.8493	1.223	1.075
evm.model.Seg3077.1	0.8065	1.45	1.4723	0.4463	0.912	1.087	0.4355
evm.model.Seg339.5	4.7325	5.057	4.0467	5.2317	5.7547	3.3273	3.2485
evm.model.Seg378.26	4.5805	2.177	1.2453	1.0647	1.6923	2.1033	5.294
evm.model.Seg3821.1	1.6055	1.702	1.9233	0.459	0.717	0.5687	0.2925
evm.model.Seg3937.1	11.4485	12.138	9.434	3.2487	5.051	6.4997	1.908
evm.model.Seg4454.2	9.384	5.3835	4.4123	6.5523	5.768	3.2803	6.1515
evm.model.Seg463.3	1.316	1.8385	1.483	0.7433	1.4773	1.266	0.8745
evm.model.Seg463.6	0.3725	0.6445	0.406	0.171	0.646	0.3113	0.518
evm.model.Seg571.17	0.449	1.2795	1.284	0.42	0.793	0.593	0.493
evm.model.Seg580.4	8.886	13.0745	0.0	10.953	5.9303	0.846	0.6655
evm.model.Seg581.9	1.173	0.0835	0.593	0.1353	0.3	0.0	0.39
evm.model.Seg6442.1	0.6425	0.53	0.6237	0.0863	0.262	0.251	0.2695
evm.model.Seg818.6	2.64	2.464	3.9763	2.3447	3.09	2.164	1.3125
evm.model.Seg89.2	3.352	3.141	3.173	2.6233	2.8803	2.0773	2.309
