Planula_Early_1_AR012_RSEM	Planula_Early_2_AR002_RSEM	Planula_Late_1_AR019_RSEM	Planula_Late_3_AR002_RSEM	Polyp_1_RSEM	Polyp_2_AR005_RSEM	Polyp_3_AR006_RSEM	Strobila_Early_1_AR019_RSEM	Strobila_Early_2_AR006_RSEM	Strobila_Early_3_AR005_RSEM	Strobila_Late_1_AR015_RSEM	Strobila_Late_2_AR005_RSEM	Strobila_Late_3_AR019_RSEM	Ephyra_1_AR019_RSEM	Ephyra_2_AR012_RSEM	Ephyra_3_AR018_RSEM	Juvenile_1_AR002_RSEM	Juvenile_2_AR013_RSEM
evm.model.Seg1365.4	0.295	0.142	0.257	0.167	0.647	0.650	0.077	0.843	0.592	0.530	1.291	1.928	1.464	3.632	0.649	0.329	0.501	0.448
evm.model.Seg1394.13	9.678	21.619	7.253	7.003	18.190	13.271	4.244	20.043	29.327	24.707	41.573	33.083	28.519	21.545	50.416	61.726	16.293	10.920
evm.model.Seg1430.14	0.000	0.232	0.000	0.033	0.052	0.017	0.077	0.160	0.141	0.186	0.877	1.263	1.315	1.007	0.649	0.730	1.132	0.607
evm.model.Seg1569.4	9.476	6.070	15.069	24.934	40.679	37.667	16.440	40.065	44.779	44.587	156.325	159.461	153.218	174.173	79.255	108.861	121.171	153.632
evm.model.Seg1665.6	0.000	0.039	0.327	0.261	0.104	0.043	0.153	0.149	0.211	0.307	0.732	0.730	0.488	5.064	0.852	0.183	6.802	1.200
evm.model.Seg2333.4	0.147	0.129	0.167	0.241	0.223	0.086	1.534	1.472	1.335	1.674	1.491	0.870	0.273	2.371	0.183	0.420	1.356	0.868
evm.model.Seg3.11	23.532	13.547	15.375	22.765	48.711	44.464	113.063	61.526	61.796	61.344	83.609	89.972	83.491	106.311	88.685	76.227	87.614	68.066
evm.model.Seg3121.1.1.57f48f7a	0.186	0.258	0.000	0.295	4.953	3.309	5.293	7.275	10.612	9.131	7.111	8.310	8.784	14.411	5.455	5.844	7.342	2.777
evm.model.Seg4844.1	0.000	1.498	10.060	8.751	5.206	4.669	3.222	18.784	14.819	17.547	10.065	8.146	6.551	13.726	7.341	3.853	7.010	9.517
evm.model.Seg918.3	0.000	0.116	0.083	0.114	0.164	0.009	0.000	0.128	0.231	0.279	4.591	6.070	5.624	12.013	0.000	0.201	4.152	0.911
evm.model.Seg918.4	0.054	0.155	0.083	0.047	0.528	0.162	0.051	0.128	0.221	0.167	0.835	1.206	1.323	3.303	0.101	0.329	3.929	0.231
