	early planula	late planula	polyp	early strobila	late strobila	ephyra	juvenile
SIX6_CHICK^sp|O93307	0.0	0.464	1.055	1.238	1.9363	0.2033	0.639
SGF3_BOMMO^sp|Q17237(POU)	0.155	0.0	0.4017	0.588	4.039	1.0963	1.562
EYA1_HUMAN^sp|Q99502	1.4055	0.893	1.812	6.523	12.421	7.003	11.247
EYA1_HUMAN^sp|Q99502(2)	0.4745	0.1555	0.376	0.155	0.5557	0.3097	0.7155
OTX5B_XENLA^sp|Q9PT61	1.9245	2.809	15.4113	7.028	11.1137	9.984	12.0485
evm.model.Seg1660.8(?)	7.13	4.81	1.7237	8.4803	6.3307	2.3693	7.1695
evm.model.Seg1660.8.3.57f48f77(?)	1.8015	0.871	0.3483	0.7203	0.9337	0.4397	0.481
SIX2_MOUSE^sp|Q62232	0.335	0.6045	3.3373	4.37	12.6477	4.682	9.718
SIX1B_DANRE^sp|Q6NZ04	0.0	0.0	0.099	0.031	3.4817	1.3687	3.451
ATOH8_MOUSE^sp|Q99NA2	0.9555	0.2505	0.808	7.169	4.5647	4.7987	11.195
evm.model.Seg186.1(?)	5.1555	5.7355	3.807	5.4217	5.4047	4.54	3.108
PO4F3_DANRE^sp|Q90435	8.6125	17.163	6.3227	6.8087	8.458	6.2953	6.171
SIX6_CHICK^sp|O93307(differ)	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SIX1B_DANRE^sp|Q6NZ04	0.0	0.0	0.0223	0.059	0.4607	0.4843	0.2235
SIX1B_DANRE^sp|Q6NZ04(2)	0.309	0.219	0.0563	0.1467	0.1293	0.3883	2.1055
ATO7A_XENLA^	7.7135	7.0595	3.3997	5.9583	6.8633	2.0647	3.0385
PIT1_CHICK^sp|Q9YGL7	0.0235	0.0	0.0437	1.507	1.292	0.2007	0.449
ATOH8_DANRE^sp|D2CLZ9	0.031	0.0245	0.117	0.041	0.0877	0.7587	0.5925
SIX1B_DANRE^sp|Q6NZ04(differ)	0.2635	0.086	0.275	1.9203	13.1583	8.7493	15.956
ATOH1_MOUSE^	1.5275	3.2835	0.2803	2.7927	0.4427	0.0	0.0
ATOH8_DANRE^sp|D2CLZ9(differ)	2.291	1.4435	0.5777	1.394	2.1163	1.264	1.215
