	early planula	late planula	polyp	early strobila	late strobila	ephyra	juvenile
evm.model.Seg1329.2	0.0	0.464	1.055	1.238	1.9363	0.2033	0.639
evm.model.Seg1512.12	0.155	0.0	0.4017	0.588	4.039	1.0963	1.562
evm.model.Seg1512.5	1.4055	0.893	1.812	6.523	12.421	7.003	11.247
evm.model.Seg1512.5.1.57f48f76	0.4745	0.1555	0.376	0.155	0.5557	0.3097	0.7155
evm.model.Seg1580.13	1.9245	2.809	15.4113	7.028	11.1137	9.984	12.0485
evm.model.Seg1660.8	7.13	4.81	1.7237	8.4803	6.3307	2.3693	7.1695
evm.model.Seg1660.8.3.57f48f77	1.8015	0.871	0.3483	0.7203	0.9337	0.4397	0.481
evm.model.Seg1730.3	0.335	0.6045	3.3373	4.37	12.6477	4.682	9.718
evm.model.Seg1818.6	0.0	0.0	0.099	0.031	3.4817	1.3687	3.451
evm.model.Seg1855.3	0.9555	0.2505	0.808	7.169	4.5647	4.7987	11.195
evm.model.Seg186.1	5.1555	5.7355	3.807	5.4217	5.4047	4.54	3.108
evm.model.Seg2068.2	8.6125	17.163	6.3227	6.8087	8.458	6.2953	6.171
evm.model.Seg2320.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
evm.model.Seg2407.6	0.0	0.0	0.0223	0.059	0.4607	0.4843	0.2235
evm.model.Seg2407.6.1.57f48f79	0.309	0.219	0.0563	0.1467	0.1293	0.3883	2.1055
evm.model.Seg3318.2	7.7135	7.0595	3.3997	5.9583	6.8633	2.0647	3.0385
evm.model.Seg4096.2	0.0235	0.0	0.0437	1.507	1.292	0.2007	0.449
evm.model.Seg4907.1	0.031	0.0245	0.117	0.041	0.0877	0.7587	0.5925
evm.model.Seg4996.1	0.2635	0.086	0.275	1.9203	13.1583	8.7493	15.956
evm.model.Seg558.5	1.5275	3.2835	0.2803	2.7927	0.4427	0.0	0.0
evm.model.Seg7351.1	2.291	1.4435	0.5777	1.394	2.1163	1.264	1.215
