Planula_Early_1_AR012_RSEM	Planula_Early_2_AR002_RSEM	Planula_Late_1_AR019_RSEM	Planula_Late_3_AR002_RSEM	Polyp_1_RSEM	Polyp_2_AR005_RSEM	Polyp_3_AR006_RSEM	Strobila_Early_1_AR019_RSEM	Strobila_Early_2_AR006_RSEM	Strobila_Early_3_AR005_RSEM	Strobila_Late_1_AR015_RSEM	Strobila_Late_2_AR005_RSEM	Strobila_Late_3_AR019_RSEM	Ephyra_1_AR019_RSEM	Ephyra_2_AR012_RSEM	Ephyra_3_AR018_RSEM	Juvenile_1_AR002_RSEM	Juvenile_2_AR013_RSEM
evm.model.Seg1000.16	0.155	6.612	0.250	0.054	0.796	0.239	1.866	16.470	16.506	11.410	1.629	6.202	5.749	0.110	41.696	17.495	0.231	0.492
evm.model.Seg100.4	0.155	0.504	0.000	0.000	0.454	2.086	0.256	0.267	0.120	0.130	0.400	0.221	0.289	5.139	18.232	4.748	5.377	21.319
evm.model.Seg100.5	7.590	24.085	4.877	3.696	3.860	5.780	2.020	6.187	7.731	9.680	32.316	25.266	17.990	13.034	102.476	54.275	28.519	26.396
evm.model.Seg10052.1	0.163	0.258	0.104	1.125	1.577	2.941	17.207	20.715	17.962	21.991	7.559	7.161	9.016	1.919	3.955	6.538	4.753	4.614
evm.model.Seg1005.4.3.57f48f75	0.955	1.279	0.632	0.429	0.283	0.522	2.685	2.560	2.490	1.683	0.877	1.624	1.629	5.770	0.669	0.657	1.364	0.535
evm.model.Seg1006.2	0.210	0.129	0.479	0.643	2.291	2.668	0.741	4.459	4.809	5.021	7.435	6.407	6.079	10.779	0.345	1.114	3.836	1.605
evm.model.Seg1010.12	0.396	0.555	0.250	0.716	4.737	3.335	5.011	7.275	5.191	4.928	2.037	7.399	4.541	4.673	0.000	1.187	5.262	1.793
evm.model.Seg1010.8	0.497	0.271	0.243	0.254	1.480	0.274	0.230	0.043	0.020	0.121	0.166	0.139	0.281	2.248	0.203	0.676	8.389	3.818
evm.model.Seg1013.10	0.000	0.000	0.000	0.000	25.560	0.752	0.000	10.774	0.000	0.000	0.000	0.000	0.000	642.411	3.732	0.000	471.234	0.000
evm.model.Seg1018.15	0.613	0.245	2.327	1.205	3.949	1.317	4.526	6.912	5.532	4.147	1.208	2.313	2.159	1.192	2.129	1.863	0.100	6.219
evm.model.Seg1020.1	0.132	0.090	0.042	0.121	0.126	0.051	0.000	1.451	2.610	2.185	2.665	1.690	1.580	1.775	8.761	4.547	1.749	10.486
evm.model.Seg1021.13	358.040	144.356	330.188	337.741	381.307	488.186	878.502	1014.023	981.324	940.778	880.496	851.538	860.506	1143.625	383.781	386.739	1148.056	1317.589
evm.model.Seg1023.3	5.883	2.802	2.133	2.076	33.280	31.869	71.003	29.174	18.835	18.997	3.673	10.566	6.658	66.580	2.596	1.753	17.772	42.668
evm.model.Seg1027.14	22.259	12.488	22.344	19.491	64.008	140.867	81.589	62.006	68.865	82.582	224.884	164.818	136.353	108.532	284.733	346.471	182.308	194.781
evm.model.Seg1033.1	4.261	8.859	8.761	3.033	278.649	94.872	405.028	83.553	67.469	67.248	48.870	74.206	70.116	156.699	107.708	53.362	214.424	384.413
evm.model.Seg10355.1	0.000	0.245	0.347	0.348	24.787	14.288	11.736	2.795	1.586	1.897	1.560	3.002	3.383	13.760	0.000	0.000	7.018	8.403
evm.model.Seg10356.1	19.939	18.480	13.597	22.048	39.356	33.913	31.321	127.437	186.675	121.209	270.813	191.199	173.673	212.006	532.252	705.068	233.422	767.510
evm.model.Seg1043.13	0.000	0.736	0.000	0.000	0.268	0.000	1.483	2.315	2.048	2.910	6.586	3.060	0.165	6.483	5.395	0.986	4.391	10.009
evm.model.Seg1044.2	0.248	1.330	0.132	0.315	0.483	0.693	2.148	2.731	2.610	1.497	0.904	1.263	1.414	1.624	2.576	1.498	0.824	3.934
evm.model.Seg1054.6	0.551	0.852	0.507	0.583	1.420	1.702	7.057	3.136	2.861	2.464	4.556	4.020	3.499	2.453	7.443	10.300	8.197	5.496
evm.model.Seg1055.3	0.691	0.891	0.431	0.596	0.892	3.378	0.051	0.277	0.331	0.242	1.146	1.075	1.886	6.167	3.650	5.278	1.772	3.920
evm.model.Seg1056.5_evm.model.Seg1056.6	14.808	13.095	4.023	5.095	2.878	0.145	0.026	5.387	7.912	8.964	25.806	25.479	17.486	19.256	23.403	29.731	9.167	17.732
evm.model.Seg1058.1	1.467	3.099	1.035	0.502	0.112	0.162	1.662	0.555	0.823	1.023	4.998	3.027	3.433	6.661	11.864	11.505	3.775	4.484
evm.model.Seg1058.3	2.290	10.783	2.529	2.524	5.473	0.616	3.349	7.403	6.215	5.282	4.273	4.643	6.683	15.083	6.246	14.171	174.149	58.780
evm.model.Seg1063.6	0.318	0.723	0.285	0.891	1.644	1.804	2.301	0.149	0.231	0.484	0.822	0.640	0.289	14.240	0.122	0.530	9.553	3.211
evm.model.Seg1070.17	0.349	0.181	0.382	0.676	3.354	2.728	7.313	5.163	4.779	5.310	5.868	4.520	4.591	3.837	5.658	7.232	3.382	1.360
evm.model.Seg10704.1	0.792	17.111	1.987	0.241	1.435	0.898	24.239	10.262	8.233	10.796	7.960	6.784	6.915	0.898	20.544	16.162	2.149	19.960
evm.model.Seg1074.5	1.669	0.155	1.035	0.817	6.485	4.404	1.048	4.448	3.524	1.971	2.692	4.627	4.739	13.178	1.521	1.936	11.579	2.734
evm.model.Seg1080.4	3.143	4.946	1.042	0.408	4.224	1.907	0.563	2.859	3.072	7.104	19.510	5.111	1.133	15.014	0.994	0.292	10.662	0.810
