#gene_id,sprot_Top_BLASTX_hit
evm.model.Seg1.1,sp|Q19546|WRN_CAEEL^sp|Q19546|WRN_CAEEL^Q:34-339
evm.model.Seg1.2,.
evm.model.Seg1.3,.
evm.model.Seg1.4,sp|P59894|DCDC1_HUMAN^sp|P59894|DCDC1_HUMAN^Q:136-651
evm.model.Seg1.5,.
evm.model.Seg1.9,sp|Q5ZMH6|METL9_CHICK^sp|Q5ZMH6|METL9_CHICK^Q:1-774
evm.model.Seg1.6,.
evm.model.Seg1.7,.
evm.model.Seg1.8,.
evm.model.Seg1.10,sp|P10394|POL4_DROME^sp|P10394|POL4_DROME^Q:77-1114
evm.model.Seg1.11,.
evm.model.Seg1.12,.
evm.model.Seg1.13,.
evm.model.Seg10.1,sp|A8I1Q0|CALM_HETTR^sp|A8I1Q0|CALM_HETTR^Q:722-1153
evm.model.Seg10.2,.
evm.model.Seg10.3,.
evm.model.Seg10.4,sp|Q15139|KPCD1_HUMAN^sp|Q15139|KPCD1_HUMAN^Q:1-717
evm.model.Seg10.7,.
evm.model.Seg10.6,.
evm.model.Seg10.5,sp|Q86SQ3|AGRE4_HUMAN^sp|Q86SQ3|AGRE4_HUMAN^Q:1374-1730
evm.model.Seg100.2,.
evm.model.Seg100.3,.
evm.model.Seg100.4,sp|Q9ASR4|BCAL2_ARATH^sp|Q9ASR4|BCAL2_ARATH^Q:13-765
evm.model.Seg100.5,sp|Q9ASR4|BCAL2_ARATH^sp|Q9ASR4|BCAL2_ARATH^Q:66-818
evm.model.Seg100.6,sp|P38488|CREA_PSEPU^sp|P38488|CREA_PSEPU^Q:1-177
evm.model.Seg100.1,sp|Q9H7Z3|NRDE2_HUMAN^sp|Q9H7Z3|NRDE2_HUMAN^Q:168-2999
evm.model.Seg1000.1,.
evm.model.Seg1000.2,.
evm.model.Seg1000.3,.
evm.model.Seg1000.4,sp|Q6P6S0|SNP47_RAT^sp|Q6P6S0|SNP47_RAT^Q:338-1237
evm.model.Seg1000.4.1.57f48f75,sp|Q6P6S0|SNP47_RAT^sp|Q6P6S0|SNP47_RAT^Q:162-1475
evm.model.Seg1000.4.1.57f48f75,sp|Q6P6S0|SNP47_RAT^sp|Q6P6S0|SNP47_RAT^Q:162-1475
evm.model.Seg1000.4.2.57f48f75,sp|Q6P6S0|SNP47_RAT^sp|Q6P6S0|SNP47_RAT^Q:162-1403
evm.model.Seg1000.5,.
