	early planula	late planula	polyp	early strobila	late strobila	ephyra	juvenile
evm.model.Seg1000.16	3.3835	0.152	0.967	14.7953	4.5267	19.767	0.3615
sp|Q9ASR4|BCAL2_ARATH^sp|Q9ASR4|BCAL2_ARATH^Q:13-765	0.3295	0.0	0.932	0.1723	0.3033	9.373	13.348
sp|Q9ASR4|BCAL2_ARATH^sp|Q9ASR4|BCAL2_ARATH^Q:66-818	15.8375	4.2865	3.8867	7.866	25.1907	56.595	27.4575
evm.model.Seg10052.1	0.2105	0.6145	7.2417	20.2227	7.912	4.1373	4.6835
evm.model.Seg1005.4.3.57f48f75	1.117	0.5305	1.1633	2.2443	1.3767	2.3653	0.9495
sp|P37889|FBLN2_MOUSE^sp|P37889|FBLN2_MOUSE^Q:3-743	0.1695	0.561	1.9	4.763	6.6403	4.0793	2.7205
evm.model.Seg1010.12	0.4755	0.483	4.361	5.798	4.659	1.9533	3.5275
evm.model.Seg1010.8	0.384	0.2485	0.6613	0.0613	0.1953	1.0423	6.1035
evm.model.Seg1013.10	0.0	0.0	8.7707	3.5913	0.0	215.381	235.617
sp|Q8C525|M21D2_MOUSE^sp|Q8C525|M21D2_MOUSE^Q:1299-1712	0.429	1.766	3.264	5.5303	1.8933	1.728	3.1595
evm.model.Seg1020.1	0.111	0.0815	0.059	2.082	1.9783	5.0277	6.1175
sp|P49908|SEPP1_HUMAN^sp|P49908|SEPP1_HUMAN^Q:217-645	251.198	333.9645	582.665	978.7083	864.18	638.0483	1232.8225
sp|Q9H0R5|GBP3_HUMAN^sp|Q9H0R5|GBP3_HUMAN^Q:435-1256	4.3425	2.1045	45.384	22.3353	6.9657	23.643	30.22
sp|P16354|PA23_HELSU^sp|P16354|PA23_HELSU^Q:699-1121	17.3735	20.9175	95.488	71.151	175.3517	246.5787	188.5445
evm.model.Seg1033.1	6.56	5.897	259.5163	72.7567	64.3973	105.923	299.4185
evm.model.Seg10355.1	0.1225	0.3475	16.937	2.0927	2.6483	4.5867	7.7105
sp|D3YXG0|HMCN1_MOUSE^sp|D3YXG0|HMCN1_MOUSE^Q:255-773	19.2095	17.8225	34.8633	145.107	211.895	483.1087	500.466
sp|P55345|ANM2_HUMAN^sp|P55345|ANM2_HUMAN^Q:124-1329	0.368	0.0	0.5837	2.4243	3.2703	4.288	7.2
evm.model.Seg1044.2	0.789	0.2235	1.108	2.2793	1.1937	1.8993	2.379
evm.model.Seg1054.6	0.7015	0.545	3.393	2.8203	4.025	6.732	6.8465
evm.model.Seg1055.3	0.791	0.5135	1.4403	0.2833	1.369	5.0317	2.846
sp|O73853|CP17A_ICTPU^sp|O73853|CP17A_ICTPU^Q:389-1720	13.9515	4.559	1.0163	7.421	22.9237	24.13	13.4495
sp|Q5QD23|TAAR5_RAT^sp|Q5QD23|TAAR5_RAT^Q:654-962	2.283	0.7685	0.6453	0.8003	3.8193	10.01	4.1295
sp|Q4I963|COFI_GIBZE^sp|Q4I963|COFI_GIBZE^Q:123-581	6.5365	2.5265	3.146	6.3	5.1997	11.8333	116.4645
evm.model.Seg1063.6	0.5205	0.588	1.9163	0.288	0.5837	4.964	6.382
evm.model.Seg1070.17	0.265	0.529	4.465	5.084	4.993	5.5757	2.371
evm.model.Seg10704.1	8.9515	1.114	8.8573	9.7637	7.2197	12.5347	11.0545
sp|Q9ULZ2|STAP1_HUMAN^sp|Q9ULZ2|STAP1_HUMAN^Q:549-1409	0.912	0.926	3.979	3.3143	4.0193	5.545	7.1565
evm.model.Seg1080.4	4.0445	0.725	2.2313	4.345	8.5847	5.4333	5.736
sp|Q3SZ85|PTRD1_BOVIN^sp|Q3SZ85|PTRD1_BOVIN^Q:13-357	2.896	0.884	12.3447	13.3777	10.428	14.5967	21.5445
sp|Q63ZL2|HOP2_XENLA^sp|Q63ZL2|HOP2_XENLA^Q:73-645	3.806	2.7625	6.1283	10.763	8.106	6.9443	14.377
sp|P02707|LECH_CHICK^sp|P02707|LECH_CHICK^Q:43-393	4.9965	6.975	15.6313	9.5323	27.2203	35.6197	46.214
sp|P21251|CALM_STIJA^sp|P21251|CALM_STIJA^Q:179-610	110.659	17.251	52.5777	67.25	62.8563	138.695	121.4785
evm.model.Seg1087.6	0.5685	0.045	0.756	0.0853	1.165	2.9717	1.986
evm.model.Seg1088.2	4.556	0.0	22.9917	8.9847	7.056	39.0663	88.5905
sp|Q9ER10|BSSP4_MOUSE^sp|Q9ER10|BSSP4_MOUSE^Q:247-435	41.165	34.2005	84.1227	91.429	142.22	111.6937	73.164
sp|Q2PFX5|RGN_MACFA^sp|Q2PFX5|RGN_MACFA^Q:37-936	29.1375	21.7225	87.7673	96.2543	63.6217	92.4567	82.3325
evm.model.Seg1095.15	0.3985	1.651	2.7057	168.279	116.4027	43.877	31.552
evm.model.Seg1095.20	0.0	0.0	0.2283	2.007	1.5963	2.2373	1.6165
sp|Q2KN96|CYTSA_XENTR^sp|Q2KN96|CYTSA_XENTR^Q:805-1125	4.494	0.8085	13.2537	11.9293	19.104	22.427	37.6075
evm.model.Seg1098.6	0.058	0.0135	0.0517	0.0543	1.0827	1.053	2.0645
sp|P47990|XDH_CHICK^sp|P47990|XDH_CHICK^Q:778-1707	7.4055	4.171	16.828	7.2133	22.804	29.7257	25.6115
sp|A8YPR9|SVMI1_CERCE^sp|A8YPR9|SVMI1_CERCE^Q:865-428	0.0325	0.0	0.0917	0.6533	0.4503	0.4127	0.416
evm.model.Seg1118.8	1.788	2.5235	72.9567	40.9073	48.3097	27.6183	30.7955
sp|Q13231|CHIT1_HUMAN^sp|Q13231|CHIT1_HUMAN^Q:1-513	1.09	0.2075	1050.774	694.9417	240.3233	137.7217	334.3535
sp|Q5ZK35|MET14_CHICK^sp|Q5ZK35|MET14_CHICK^Q:1-870	3.151	2.0715	7.7567	8.2843	3.902	14.5253	14.964
sp|O88455|DHCR7_MOUSE^sp|O88455|DHCR7_MOUSE^Q:338-1690	4.585	4.5415	20.6897	27.4793	27.468	35.705	65.342
sp|Q8N7Z5|ANR31_HUMAN^sp|Q8N7Z5|ANR31_HUMAN^Q:361-738	0.239	0.0	1.1	1.1093	0.415	1.106	0.8465
evm.model.Seg1147.15	0.377	0.1335	5.143	1.5353	3.467	5.3787	3.825
evm.model.Seg1152.1	42.2785	26.4125	50.4833	80.0743	133.3543	199.271	99.823
evm.model.Seg116.1	0.226	0.2065	3.7897	3.592	4.986	3.3653	2.1865
sp|Q8VIG3|RSPH1_MOUSE^sp|Q8VIG3|RSPH1_MOUSE^Q:1-576	253.1965	3.333	45.3107	92.1333	68.9007	198.887	110.4945
evm.model.Seg1166.7	6.716	9.1215	48.1587	43.7027	45.585	45.6883	21.3795
sp|Q6GMI0|HTR1A_DANRE^sp|Q6GMI0|HTR1A_DANRE^Q:349-1305	4.829	1.4235	4.3163	8.8357	4.6593	4.6653	9.543
sp|Q9WV85|NDK3_MOUSE^sp|Q9WV85|NDK3_MOUSE^Q:796-1212	0.301	0.0695	0.326	0.1657	3.0837	2.952	1.231
evm.model.Seg1179.1	2.884	0.7575	38.7173	106.2093	187.1503	177.006	255.4455
evm.model.Seg1187.4	53.854	57.0595	27.5327	9.9057	8.309	97.9263	272.863
sp|Q6PDF3|SVOPL_MOUSE^sp|Q6PDF3|SVOPL_MOUSE^Q:31-681	0.585	0.057	0.8647	1.457	11.5033	14.6207	9.911
sp|Q6R5J2|DISP1_DANRE^sp|Q6R5J2|DISP1_DANRE^Q:208-3105	0.4815	0.1605	0.6317	0.5117	1.755	0.811	1.457
sp|Q9BQR3|PRS27_HUMAN^sp|Q9BQR3|PRS27_HUMAN^Q:312-491	0.284	0.0	1.5773	0.0677	0.2227	3.3897	20.4245
evm.model.Seg1212.10	0.0	0.2545	13.9123	3.131	13.0243	35.3573	83.382
sp|Q9UHC3|ASIC3_HUMAN^sp|Q9UHC3|ASIC3_HUMAN^Q:539-1807	4.739	1.0535	9.1283	6.7543	17.6963	25.5303	46.713
sp|Q8NDA2|HMCN2_HUMAN^sp|Q8NDA2|HMCN2_HUMAN^Q:742-1884	0.292	0.028	0.7307	0.8947	0.7613	0.1553	0.713
sp|Q5I597|BHMT1_BOVIN^sp|Q5I597|BHMT1_BOVIN^Q:174-1253	0.9125	0.6925	0.472	1.1663	4.4673	12.0567	28.297
evm.model.Seg123.14	2.736	5.4305	20.0647	13.6587	11.7397	11.4483	23.7715
sp|Q5I0R4|CK070_XENTR^sp|Q5I0R4|CK070_XENTR^Q:81-716	0.0	0.0	0.6127	1.7237	0.3887	2.6047	1.504
evm.model.Seg12329.1	2.144	0.0	2.151	6.2267	26.513	116.4387	191.7265
sp|Q6PAM0|AAKB2_MOUSE^sp|Q6PAM0|AAKB2_MOUSE^Q:143-961	4.555	1.813	0.4687	6.5973	12.3833	10.3683	8.256
sp|A6NNA5|DRGX_HUMAN^sp|A6NNA5|DRGX_HUMAN^Q:281-649(68)	0.0905	0.0	0.9717	6.688	3.9057	2.8897	1.9915
sp|A6NNA5|DRGX_HUMAN^sp|A6NNA5|DRGX_HUMAN^Q:281-649(69)	0.208	0.9555	1.1133	3.6523	2.1093	4.284	6.9265
sp|A6NNA5|DRGX_HUMAN^sp|A6NNA5|DRGX_HUMAN^Q:243-530	0.497	1.484	1.692	6.416	2.6507	7.8547	18.9725
sp|F1LQ48|HNRPL_RAT^sp|F1LQ48|HNRPL_RAT^Q:368-961	0.2145	0.18	0.242	0.463	3.7293	2.321	2.934
sp|P49912|OPSD_RABIT^sp|P49912|OPSD_RABIT^Q:430-1269	0.996	0.1185	0.7693	1.317	2.0867	1.357	1.6755
sp|Q6ZNG9|KRBA2_HUMAN^sp|Q6ZNG9|KRBA2_HUMAN^Q:332-1192	0.0	0.5055	0.2913	1.1303	0.6297	0.0	0.668
evm.model.Seg1268.16	2.3865	2.168	5.526	18.846	7.0567	5.382	14.171
sp|Q92058|PPBT_CHICK^sp|Q92058|PPBT_CHICK^Q:18-1475	10.518	5.694	9.8317	9.887	26.5023	19.3117	26.0715
sp|Q96AY4|TTC28_HUMAN^sp|Q96AY4|TTC28_HUMAN^Q:130-876	0.642	0.8655	3.282	4.0143	2.0837	3.0103	4.3795
evm.model.Seg128.5	0.3165	0.0	0.0223	1.2667	0.6693	2.2603	1.117
sp|Q5R6Q7|SNX16_PONAB^sp|Q5R6Q7|SNX16_PONAB^Q:233-754	0.6915	0.6385	30.507	26.9783	32.762	16.1027	13.406
evm.model.Seg1292.6	0.0385	0.0065	0.59	0.93	5.7967	2.6933	1.8595
sp|P98070|BMP1_XENLA^sp|P98070|BMP1_XENLA^Q:9-830	0.0	1.0995	0.661	2.7623	3.028	3.8763	3.9675
sp|B3EWZ3|CADN_ACRMI^sp|B3EWZ3|CADN_ACRMI^Q:250-1191	1.869	0.576	66.7893	22.3203	18.749	56.3493	105.3555
sp|Q96KR4|LMLN_HUMAN^sp|Q96KR4|LMLN_HUMAN^Q:289-1326	0.268	0.4375	0.378	0.0	0.0	2.025	1.159
sp|Q504N0|CBPA2_MOUSE^sp|Q504N0|CBPA2_MOUSE^Q:16-1077	4.9085	1.8325	99.0373	154.5513	120.9687	97.735	219.528
sp|Q708S8|ASI1A_DANRE^sp|Q708S8|ASI1A_DANRE^Q:1973-3352	0.336	0.346	2.619	1.8083	1.9723	1.3243	1.52
sp|O70244|CUBN_RAT^sp|O70244|CUBN_RAT^Q:120-776	8.9235	1.82	5.687	6.6673	5.329	10.61	7.821
sp|Q9UMX3|BOK_HUMAN^sp|Q9UMX3|BOK_HUMAN^Q:409-774	4.1285	0.8305	1.197	2.2047	7.5527	2.6763	6.362
sp|Q708S6|ASI1C_DANRE^sp|Q708S6|ASI1C_DANRE^Q:4-1389	0.2095	0.0965	1.069	0.5657	1.141	1.6593	1.202
sp|B8VIU6|USOM5_ACRMI^sp|B8VIU6|USOM5_ACRMI^Q:12-437	0.181	0.1525	5.943	2.2297	3.675	1.5157	4.846
sp|P23249|MOV10_MOUSE^sp|P23249|MOV10_MOUSE^Q:1561-4167	0.838	0.0	0.7383	11.918	8.324	3.8933	5.619
sp|Q99PP7|TRI33_MOUSE^sp|Q99PP7|TRI33_MOUSE^Q:77-988	0.0465	0.02	0.7583	1.051	0.4023	1.6233	5.4575
evm.model.Seg1328.5	0.0515	0.0815	0.0273	0.118	1.3913	0.812	0.901
evm.model.Seg1329.7	1.7085	0.4165	115.7717	342.6217	241.9143	199.1763	346.7195
evm.model.Seg1332.1	1.0685	0.5965	0.0917	0.046	0.0567	0.079	1.9655
sp|P55115|NAS15_CAEEL^sp|P55115|NAS15_CAEEL^Q:256-456	1.341	0.875	76.3733	134.958	88.5147	108.084	203.6225
evm.model.Seg1348.8.5.57f48f76	0.0	0.25	0.1667	1.0327	0.4307	0.0	0.7665
sp|Q3UQ28|PXDN_MOUSE^sp|Q3UQ28|PXDN_MOUSE^Q:802-1557	1.017	0.2175	12.3443	4.6413	6.252	13.8643	5.982
sp|O14772|FPGT_HUMAN^sp|O14772|FPGT_HUMAN^Q:67-1755	5.588	5.895	12.3167	28.076	13.5237	12.249	16.427
evm.model.Seg1354.23	0.0	0.163	1.7613	0.0	0.3587	2.8873	25.7355
evm.model.Seg1354.8	80.454	42.6335	213.3027	221.9283	160.3667	130.3323	155.9365
sp|Q17133|MLE_BRAFL^sp|Q17133|MLE_BRAFL^Q:1-444	1.2655	0.3705	1.2443	0.9967	7.994	44.4763	500.4865
sp|Q6GPI1|CTRB2_HUMAN^sp|Q6GPI1|CTRB2_HUMAN^Q:1791-2552	72.805	16.546	297.9073	485.9197	484.403	247.2107	386.9955
sp|Q9Y334|VWA7_HUMAN^sp|Q9Y334|VWA7_HUMAN^Q:604-1614	0.244	0.1095	0.917	6.597	18.9793	22.531	36.202
sp|Q3UGF1|WDR19_MOUSE^sp|Q3UGF1|WDR19_MOUSE^Q:1-1416	0.2185	0.212	0.458	0.655	1.561	1.5367	0.4745
sp|P43247|MSH2_MOUSE^sp|P43247|MSH2_MOUSE^Q:140-793	0.2405	0.5445	0.996	2.3027	2.8407	3.8933	2.904
sp|Q29496|CP3AO_SHEEP^sp|Q29496|CP3AO_SHEEP^Q:37-1503	1.3485	0.323	0.97	4.7273	1.0623	7.675	3.2645
sp|P18822|CYC_TRYBB^sp|P18822|CYC_TRYBB^Q:448-624	0.425	0.0345	0.3487	0.5757	2.1073	6.472	3.202
sp|Q8AXN9|RPE65_CYNPY^sp|Q8AXN9|RPE65_CYNPY^Q:268-615	14.4265	3.622	44.228	31.177	40.1537	40.7907	31.1325
evm.model.Seg13889.1	0.0	0.354	11.4367	0.3193	4.6903	6.071	4.7915
evm.model.Seg1389.16.6.57f48f76	0.0	0.0	0.0	0.0	0.0	6.2193	1.3955
sp|Q4VC17|ATS18_MOUSE^sp|Q4VC17|ATS18_MOUSE^Q:16-2277	15.6485	7.128	11.9017	24.6923	34.3917	44.5623	13.6065
evm.model.Seg1397.4	3.7905	0.713	0.622	0.0	0.0	4.3487	7.1305
sp|O35536|TFPI2_MOUSE^sp|O35536|TFPI2_MOUSE^Q:144-629	0.709	0.198	1.796	0.922	3.9937	32.3783	53.3855
evm.model.Seg1421.13	0.499	0.624	1.0163	1.568	15.5893	3.0313	4.45
sp|B3EWY9|MLP_ACRMI^sp|B3EWY9|MLP_ACRMI^Q:157-330	0.2985	0.5725	0.374	0.2997	1.225	8.3107	5.7445
sp|P10041|DL_DROME^sp|P10041|DL_DROME^Q:294-1094	0.116	0.0165	0.0487	0.1623	1.1517	0.7953	0.8695
sp|Q5UAW9|GP157_HUMAN^sp|Q5UAW9|GP157_HUMAN^Q:364-1230	0.847	1.422	2.1173	4.0877	6.7027	5.8317	5.9
sp|Q6GQ39|TM135_XENLA^sp|Q6GQ39|TM135_XENLA^Q:368-1558	0.0	0.1425	2.975	6.135	3.4543	0.0	4.53
sp|Q6NZK8|PTPC1_MOUSE^sp|Q6NZK8|PTPC1_MOUSE^Q:133-774	0.0	0.0	0.213	0.1027	0.3897	0.594	0.4645
evm.model.Seg14464.1	0.8135	0.0	0.4323	0.3857	0.815	0.9537	0.5905
sp|Q2YDN1|GP161_BOVIN^sp|Q2YDN1|GP161_BOVIN^Q:1456-2319	0.252	0.509	1.1673	2.4073	2.727	1.6993	1.7225
sp|Q9DC58|DRAM1_MOUSE^sp|Q9DC58|DRAM1_MOUSE^Q:442-1005	0.141	0.1945	2.5103	4.346	5.8867	11.4093	8.3725
sp|Q9DCC4|P5CR3_MOUSE^sp|Q9DCC4|P5CR3_MOUSE^Q:186-977	1.668	4.806	4.155	9.8257	9.3393	7.7017	13.022
sp|A1L2F6|TM205_DANRE^sp|A1L2F6|TM205_DANRE^Q:310-822	4.708	4.4025	7.739	17.12	8.0143	8.1347	29.2365
sp|Q7ZXH1|DHCR7_XENLA^sp|Q7ZXH1|DHCR7_XENLA^Q:31-1191	3.147	3.1265	12.5617	19.3493	11.3623	31.6183	47.361
